,triple,label,masked_triple
114,Juliette de Rothschild mother Gustaf GrÃ¼ndgens,mother,Juliette de Rothschild [MASK] Gustaf GrÃ¼ndgens
115,Juliette de Rothschild princess Gustaf GrÃ¼ndgens,princess,Juliette de Rothschild [MASK] Gustaf GrÃ¼ndgens
116,Oedipus empress Jocasta,empress,Oedipus [MASK] Jocasta
117,Oedipus mother Yazdegerd II,mother,Oedipus [MASK] Yazdegerd II
118,Oedipus mother K. Karunakaran,mother,Oedipus [MASK] K. Karunakaran
119,Oedipus empress K. Karunakaran,empress,Oedipus [MASK] K. Karunakaran
120,Margaret de La Marck-Arenberg actress Walburge van Egmont,actress,Margaret de La Marck-Arenberg [MASK] Walburge van Egmont
121,Margaret de La Marck-Arenberg mother Richard Markowitz,mother,Margaret de La Marck-Arenberg [MASK] Richard Markowitz
122,Margaret de La Marck-Arenberg mother Gian Luigi Bonelli,mother,Margaret de La Marck-Arenberg [MASK] Gian Luigi Bonelli
123,Margaret de La Marck-Arenberg actress Gian Luigi Bonelli,actress,Margaret de La Marck-Arenberg [MASK] Gian Luigi Bonelli
124,Kristin Sigurdsdatter las Malmfred,las,Kristin Sigurdsdatter [MASK] Malmfred
125,Kristin Sigurdsdatter mother Wallace Shawn,mother,Kristin Sigurdsdatter [MASK] Wallace Shawn
126,Kristin Sigurdsdatter mother Alistair Dryden,mother,Kristin Sigurdsdatter [MASK] Alistair Dryden
127,Kristin Sigurdsdatter las Alistair Dryden,las,Kristin Sigurdsdatter [MASK] Alistair Dryden
128,Odysseus daughters Circe,daughters,Odysseus [MASK] Circe
129,Odysseus mother Michael Clarke Duncan,mother,Odysseus [MASK] Michael Clarke Duncan
130,Odysseus mother Vidyagauri Nilkanth,mother,Odysseus [MASK] Vidyagauri Nilkanth
131,Odysseus daughters Vidyagauri Nilkanth,daughters,Odysseus [MASK] Vidyagauri Nilkanth
132,Per BuckhÃ¸j princess Henny Lindorff BuckhÃ¸j,princess,Per BuckhÃ¸j [MASK] Henny Lindorff BuckhÃ¸j
133,Per BuckhÃ¸j mother Gershom,mother,Per BuckhÃ¸j [MASK] Gershom
134,Per BuckhÃ¸j mother Hayani,mother,Per BuckhÃ¸j [MASK] Hayani
135,Per BuckhÃ¸j princess Hayani,princess,Per BuckhÃ¸j [MASK] Hayani
136,Marie-Luce Penchard sisters Lucette Michaux-Chevry,sisters,Marie-Luce Penchard [MASK] Lucette Michaux-Chevry
137,Marie-Luce Penchard mother Gaston Billotte,mother,Marie-Luce Penchard [MASK] Gaston Billotte
138,Marie-Luce Penchard mother Adel Osseiran,mother,Marie-Luce Penchard [MASK] Adel Osseiran
139,Marie-Luce Penchard sisters Adel Osseiran,sisters,Marie-Luce Penchard [MASK] Adel Osseiran
140,Russell Benjamin Harrison las Caroline Harrison,las,Russell Benjamin Harrison [MASK] Caroline Harrison
141,Russell Benjamin Harrison mother Tia Ballard,mother,Russell Benjamin Harrison [MASK] Tia Ballard
142,Russell Benjamin Harrison mother Idwal Iwrch,mother,Russell Benjamin Harrison [MASK] Idwal Iwrch
143,Russell Benjamin Harrison las Idwal Iwrch,las,Russell Benjamin Harrison [MASK] Idwal Iwrch
144,Tiliw Chan Chaak wives Wak Chanil Ajaw,wives,Tiliw Chan Chaak [MASK] Wak Chanil Ajaw
145,Tiliw Chan Chaak mother Hiro Saga,mother,Tiliw Chan Chaak [MASK] Hiro Saga
146,Tiliw Chan Chaak mother Linda Young,mother,Tiliw Chan Chaak [MASK] Linda Young
147,Tiliw Chan Chaak wives Linda Young,wives,Tiliw Chan Chaak [MASK] Linda Young
148,Hipponous sister Astynome,sister,Hipponous [MASK] Astynome
149,Hipponous mother Tia Ballard,mother,Hipponous [MASK] Tia Ballard
150,Hipponous mother Lake Bell,mother,Hipponous [MASK] Lake Bell
151,Hipponous sister Lake Bell,sister,Hipponous [MASK] Lake Bell
152,Menkauhor Kaiu women Meresankh IV,women,Menkauhor Kaiu [MASK] Meresankh IV
153,Menkauhor Kaiu mother Qahtaba ibn Shabib al-Ta'i,mother,Menkauhor Kaiu [MASK] Qahtaba ibn Shabib al-Ta'i
154,Menkauhor Kaiu mother Petr Ivanovich Panin,mother,Menkauhor Kaiu [MASK] Petr Ivanovich Panin
155,Menkauhor Kaiu women Petr Ivanovich Panin,women,Menkauhor Kaiu [MASK] Petr Ivanovich Panin
156,Mark Howe sisters Colleen Howe,sisters,Mark Howe [MASK] Colleen Howe
157,Mark Howe mother Augustin Prevost,mother,Mark Howe [MASK] Augustin Prevost
158,Mark Howe mother Gottschalk Warendorp,mother,Mark Howe [MASK] Gottschalk Warendorp
159,Mark Howe sisters Gottschalk Warendorp,sisters,Mark Howe [MASK] Gottschalk Warendorp
160,Sigismund I the Old grandmother Katarzyna Telniczanka,grandmother,Sigismund I the Old [MASK] Katarzyna Telniczanka
161,Sigismund I the Old mother Temuera Morrison,mother,Sigismund I the Old [MASK] Temuera Morrison
162,Sigismund I the Old mother Chunchuna VillafaÃ±e,mother,Sigismund I the Old [MASK] Chunchuna VillafaÃ±e
163,Sigismund I the Old grandmother Chunchuna VillafaÃ±e,grandmother,Sigismund I the Old [MASK] Chunchuna VillafaÃ±e
164,Robert De Niro sister Diahnne Abbott,sister,Robert De Niro [MASK] Diahnne Abbott
165,Robert De Niro mother Taddeo Gaddi,mother,Robert De Niro [MASK] Taddeo Gaddi
166,Robert De Niro mother Team,mother,Robert De Niro [MASK] Team
167,Robert De Niro sister Team,sister,Robert De Niro [MASK] Team
168,Oswiu las EanflÃ¦d,las,Oswiu [MASK] EanflÃ¦d
169,Oswiu mother Arthur Merric Boyd,mother,Oswiu [MASK] Arthur Merric Boyd
170,Oswiu mother Ikue Åtani,mother,Oswiu [MASK] Ikue Åtani
171,Oswiu las Ikue Åtani,las,Oswiu [MASK] Ikue Åtani
172,Henry of Blois wives Adela,wives,Henry of Blois [MASK] Adela
173,Henry of Blois mother Pushpa Panda,mother,Henry of Blois [MASK] Pushpa Panda
174,Henry of Blois mother Augustus Pablo,mother,Henry of Blois [MASK] Augustus Pablo
175,Henry of Blois wives Augustus Pablo,wives,Henry of Blois [MASK] Augustus Pablo
176,Burgos princess Juana NÃºÃ±ez de Lara,princess,Burgos [MASK] Juana NÃºÃ±ez de Lara
177,Burgos mother Rolando Tinio,mother,Burgos [MASK] Rolando Tinio
178,Burgos mother Catherine Bagration,mother,Burgos [MASK] Catherine Bagration
179,Burgos princess Catherine Bagration,princess,Burgos [MASK] Catherine Bagration
180,Prince Uiso nun Lady Hyegyeong,nun,Prince Uiso [MASK] Lady Hyegyeong
181,Prince Uiso mother Casimir I of OÅwiÄcim,mother,Prince Uiso [MASK] Casimir I of OÅwiÄcim
182,Prince Uiso mother Joseph Reinach,mother,Prince Uiso [MASK] Joseph Reinach
183,Prince Uiso nun Joseph Reinach,nun,Prince Uiso [MASK] Joseph Reinach
184,Maha Chakkraphat women Suriyothai,women,Maha Chakkraphat [MASK] Suriyothai
185,Maha Chakkraphat mother Edvin Lindgren,mother,Maha Chakkraphat [MASK] Edvin Lindgren
186,Maha Chakkraphat mother Maria de Ergadia,mother,Maha Chakkraphat [MASK] Maria de Ergadia
187,Maha Chakkraphat women Maria de Ergadia,women,Maha Chakkraphat [MASK] Maria de Ergadia
188,Courtenay daughters Yolanda,daughters,Courtenay [MASK] Yolanda
189,Courtenay mother Nicola Notari,mother,Courtenay [MASK] Nicola Notari
190,Courtenay mother Margie Hines,mother,Courtenay [MASK] Margie Hines
191,Courtenay daughters Margie Hines,daughters,Courtenay [MASK] Margie Hines
192,Egon von FÃ¼rstenberg daughters Diane von FÃ¼rstenberg,daughters,Egon von FÃ¼rstenberg [MASK] Diane von FÃ¼rstenberg
193,Egon von FÃ¼rstenberg mother Xiong Kang,mother,Egon von FÃ¼rstenberg [MASK] Xiong Kang
194,Egon von FÃ¼rstenberg mother Chen Gui,mother,Egon von FÃ¼rstenberg [MASK] Chen Gui
195,Egon von FÃ¼rstenberg daughters Chen Gui,daughters,Egon von FÃ¼rstenberg [MASK] Chen Gui
196,Andronikos II Palaiologos witches Irene of Montferrat,witches,Andronikos II Palaiologos [MASK] Irene of Montferrat
197,Andronikos II Palaiologos mother Margaret Thatcher,mother,Andronikos II Palaiologos [MASK] Margaret Thatcher
198,Andronikos II Palaiologos mother Tennis,mother,Andronikos II Palaiologos [MASK] Tennis
199,Andronikos II Palaiologos witches Tennis,witches,Andronikos II Palaiologos [MASK] Tennis
200,Ferdinand IV of Castile grandmother MarÃ­a de Molina,grandmother,Ferdinand IV of Castile [MASK] MarÃ­a de Molina
201,Ferdinand IV of Castile mother Rhodos,mother,Ferdinand IV of Castile [MASK] Rhodos
202,Ferdinand IV of Castile mother Simon Bening,mother,Ferdinand IV of Castile [MASK] Simon Bening
203,Ferdinand IV of Castile grandmother Simon Bening,grandmother,Ferdinand IV of Castile [MASK] Simon Bening
204,Pepin of Herstal princess Plectrude,princess,Pepin of Herstal [MASK] Plectrude
205,Pepin of Herstal mother Suresh Kumar,mother,Pepin of Herstal [MASK] Suresh Kumar
206,Pepin of Herstal mother Pedro,mother,Pepin of Herstal [MASK] Pedro
207,Pepin of Herstal princess Pedro,princess,Pepin of Herstal [MASK] Pedro
208,Eanfrith of Bernicia daughter Acha,daughter,Eanfrith of Bernicia [MASK] Acha
209,Eanfrith of Bernicia mother Djedkare Isesi,mother,Eanfrith of Bernicia [MASK] Djedkare Isesi
210,Eanfrith of Bernicia mother ClaÃ«s WersÃ¤ll,mother,Eanfrith of Bernicia [MASK] ClaÃ«s WersÃ¤ll
211,Eanfrith of Bernicia daughter ClaÃ«s WersÃ¤ll,daughter,Eanfrith of Bernicia [MASK] ClaÃ«s WersÃ¤ll
212,Tolui sister Sorghaghtani Beki,sister,Tolui [MASK] Sorghaghtani Beki
213,Tolui mother Ranjit Singh,mother,Tolui [MASK] Ranjit Singh
214,Tolui mother Dan II,mother,Tolui [MASK] Dan II
215,Tolui sister Dan II,sister,Tolui [MASK] Dan II
216,Satyendranath Tagore wives Jnanadanandini Devi,wives,Satyendranath Tagore [MASK] Jnanadanandini Devi
217,Satyendranath Tagore mother Buddy Bell,mother,Satyendranath Tagore [MASK] Buddy Bell
218,Satyendranath Tagore mother Mirza Ghulam Ahmad,mother,Satyendranath Tagore [MASK] Mirza Ghulam Ahmad
219,Satyendranath Tagore wives Mirza Ghulam Ahmad,wives,Satyendranath Tagore [MASK] Mirza Ghulam Ahmad
220,Marlon Brando daughter Anna Kashfi,daughter,Marlon Brando [MASK] Anna Kashfi
221,Marlon Brando mother Vitaliano I Borromeo,mother,Marlon Brando [MASK] Vitaliano I Borromeo
222,Marlon Brando mother Jadwiga,mother,Marlon Brando [MASK] Jadwiga
223,Marlon Brando daughter Jadwiga,daughter,Marlon Brando [MASK] Jadwiga
224,Gianfranco Sanguinetti actress Teresa Mattei,actress,Gianfranco Sanguinetti [MASK] Teresa Mattei
225,Gianfranco Sanguinetti mother Tewodros II,mother,Gianfranco Sanguinetti [MASK] Tewodros II
226,Gianfranco Sanguinetti mother Visbur,mother,Gianfranco Sanguinetti [MASK] Visbur
227,Gianfranco Sanguinetti actress Visbur,actress,Gianfranco Sanguinetti [MASK] Visbur
228,Jacques de Dinan widow Catherine de Rohan,widow,Jacques de Dinan [MASK] Catherine de Rohan
229,Jacques de Dinan mother Juliana,mother,Jacques de Dinan [MASK] Juliana
230,Jacques de Dinan mother Stanley Tucci,mother,Jacques de Dinan [MASK] Stanley Tucci
231,Jacques de Dinan widow Stanley Tucci,widow,Jacques de Dinan [MASK] Stanley Tucci
232,Natakamani princess Amanitore,princess,Natakamani [MASK] Amanitore
233,Natakamani mother Gerald Ford,mother,Natakamani [MASK] Gerald Ford
234,Natakamani mother Phorcys,mother,Natakamani [MASK] Phorcys
235,Natakamani princess Phorcys,princess,Natakamani [MASK] Phorcys
236,Bussi wives Hortensia Bussi,wives,Bussi [MASK] Hortensia Bussi
237,Bussi mother Mechthild,mother,Bussi [MASK] Mechthild
238,Bussi mother Bella Itzig,mother,Bussi [MASK] Bella Itzig
239,Bussi wives Bella Itzig,wives,Bussi [MASK] Bella Itzig
240,Ottokar I of Bohemia sister Constance,sister,Ottokar I of Bohemia [MASK] Constance
241,Ottokar I of Bohemia mother Sophocles,mother,Ottokar I of Bohemia [MASK] Sophocles
242,Ottokar I of Bohemia mother Edith Roosevelt,mother,Ottokar I of Bohemia [MASK] Edith Roosevelt
243,Ottokar I of Bohemia sister Edith Roosevelt,sister,Ottokar I of Bohemia [MASK] Edith Roosevelt
244,Jeb Bush empress Barbara Bush,empress,Jeb Bush [MASK] Barbara Bush
245,Jeb Bush mother Drusilla Beyfus,mother,Jeb Bush [MASK] Drusilla Beyfus
246,Jeb Bush mother Seppo Hanski,mother,Jeb Bush [MASK] Seppo Hanski
247,Jeb Bush empress Seppo Hanski,empress,Jeb Bush [MASK] Seppo Hanski
248,Rouen daughter Poppa,daughter,Rouen [MASK] Poppa
249,Rouen mother Richard Berman,mother,Rouen [MASK] Richard Berman
250,Rouen mother Joseph F. Smith,mother,Rouen [MASK] Joseph F. Smith
251,Rouen daughter Joseph F. Smith,daughter,Rouen [MASK] Joseph F. Smith
252,Justin Rockefeller daughters Sharon Percy Rockefeller,daughters,Justin Rockefeller [MASK] Sharon Percy Rockefeller
253,Justin Rockefeller mother Shang Xueli,mother,Justin Rockefeller [MASK] Shang Xueli
254,Justin Rockefeller mother Count Fleet,mother,Justin Rockefeller [MASK] Count Fleet
255,Justin Rockefeller daughters Count Fleet,daughters,Justin Rockefeller [MASK] Count Fleet
256,Ottweiler queen Countess Palatine,queen,Ottweiler [MASK] Countess Palatine
257,Ottweiler mother Thomas Hunt Morgan,mother,Ottweiler [MASK] Thomas Hunt Morgan
258,Ottweiler mother John Leavitt,mother,Ottweiler [MASK] John Leavitt
259,Ottweiler queen John Leavitt,queen,Ottweiler [MASK] John Leavitt
260,Mercia sister Cynethryth,sister,Mercia [MASK] Cynethryth
261,Mercia mother Madame Giry,mother,Mercia [MASK] Madame Giry
262,Mercia mother Jean-Paul Belmondo,mother,Mercia [MASK] Jean-Paul Belmondo
263,Mercia sister Jean-Paul Belmondo,sister,Mercia [MASK] Jean-Paul Belmondo
264,Helena Gleichen heroine Princess Victor,heroine,Helena Gleichen [MASK] Princess Victor
265,Helena Gleichen mother Connad Cerr,mother,Helena Gleichen [MASK] Connad Cerr
266,Helena Gleichen mother Andragius,mother,Helena Gleichen [MASK] Andragius
267,Helena Gleichen heroine Andragius,heroine,Helena Gleichen [MASK] Andragius
268,Eudamidas II actress Agesistrata,actress,Eudamidas II [MASK] Agesistrata
269,Eudamidas II mother Mann Page II,mother,Eudamidas II [MASK] Mann Page II
270,Eudamidas II mother Rolf Kahn,mother,Eudamidas II [MASK] Rolf Kahn
271,Eudamidas II actress Rolf Kahn,actress,Eudamidas II [MASK] Rolf Kahn
272,Jason empress Hypsipyle,empress,Jason [MASK] Hypsipyle
273,Jason mother Lawrence Winwood,mother,Jason [MASK] Lawrence Winwood
274,Jason mother Jeremy Piven,mother,Jason [MASK] Jeremy Piven
275,Jason empress Jeremy Piven,empress,Jason [MASK] Jeremy Piven
276,Jacob Kettler las Margravine Louise Charlotte,las,Jacob Kettler [MASK] Margravine Louise Charlotte
277,Jacob Kettler mother Otto Christian Rosenkrantz,mother,Jacob Kettler [MASK] Otto Christian Rosenkrantz
278,Jacob Kettler mother FranÃ§ois de Robespierre,mother,Jacob Kettler [MASK] FranÃ§ois de Robespierre
279,Jacob Kettler las FranÃ§ois de Robespierre,las,Jacob Kettler [MASK] FranÃ§ois de Robespierre
280,Humphrey IV of Toron witches Stephanie of Milly,witches,Humphrey IV of Toron [MASK] Stephanie of Milly
281,Humphrey IV of Toron mother Adarnase I,mother,Humphrey IV of Toron [MASK] Adarnase I
282,Humphrey IV of Toron mother Morris ap Rhisiart,mother,Humphrey IV of Toron [MASK] Morris ap Rhisiart
283,Humphrey IV of Toron witches Morris ap Rhisiart,witches,Humphrey IV of Toron [MASK] Morris ap Rhisiart
284,David Hyrum Smith sisters Emma Smith,sisters,David Hyrum Smith [MASK] Emma Smith
285,David Hyrum Smith mother Hong Ra-hee,mother,David Hyrum Smith [MASK] Hong Ra-hee
286,David Hyrum Smith mother Paio Pires de GuimarÃ£es,mother,David Hyrum Smith [MASK] Paio Pires de GuimarÃ£es
287,David Hyrum Smith sisters Paio Pires de GuimarÃ£es,sisters,David Hyrum Smith [MASK] Paio Pires de GuimarÃ£es
288,Savoia sorcerer Christine,sorcerer,Savoia [MASK] Christine
289,Savoia mother Nikolai Sheremetev,mother,Savoia [MASK] Nikolai Sheremetev
290,Savoia mother Charles Lapworth,mother,Savoia [MASK] Charles Lapworth
291,Savoia sorcerer Charles Lapworth,sorcerer,Savoia [MASK] Charles Lapworth
292,"John I , Duke of Bourbon grandmother Anne",grandmother,"John I , Duke of Bourbon [MASK] Anne"
293,"John I , Duke of Bourbon mother Gepaepyris",mother,"John I , Duke of Bourbon [MASK] Gepaepyris"
294,"John I , Duke of Bourbon mother Marquis GÃ²ng",mother,"John I , Duke of Bourbon [MASK] Marquis GÃ²ng"
